age_group,sex,educ,province,n
45-54,Female,Degree above Bachelor's,Ontario,2465
45-54,Female,Degree above Bachelor's,Prince Edward Island,18
45-54,Female,Degree above Bachelor's,Quebec,1130
45-54,Female,Degree above Bachelor's,Saskatchewan,99
45-54,Female,HS Diploma or equivalent,Alberta,1916
45-54,Female,HS Diploma or equivalent,British Columbia,2510
45-54,Female,HS Diploma or equivalent,Manitoba,619
45-54,Female,HS Diploma or equivalent,New Brunswick,454
45-54,Female,HS Diploma or equivalent,Newfoundland and Labrador,273
45-54,Female,HS Diploma or equivalent,Northern Canada,29
45-54,Female,HS Diploma or equivalent,Nova Scotia,437
45-54,Female,HS Diploma or equivalent,Ontario,6741
45-54,Female,HS Diploma or equivalent,Prince Edward Island,71
45-54,Female,HS Diploma or equivalent,Quebec,2896
45-54,Female,HS Diploma or equivalent,Saskatchewan,524
45-54,Female,"No certificate, diploma or degree",Alberta,740
45-54,Female,"No certificate, diploma or degree",British Columbia,751
45-54,Female,"No certificate, diploma or degree",Manitoba,270
45-54,Female,"No certificate, diploma or degree",New Brunswick,158
45-54,Female,"No certificate, diploma or degree",Newfoundland and Labrador,173
45-54,Female,"No certificate, diploma or degree",Northern Canada,46
45-54,Female,"No certificate, diploma or degree",Nova Scotia,173
45-54,Female,"No certificate, diploma or degree",Ontario,2497
45-54,Female,"No certificate, diploma or degree",Prince Edward Island,30
45-54,Female,"No certificate, diploma or degree",Quebec,1837
45-54,Female,"No certificate, diploma or degree",Saskatchewan,198
45-54,Female,Non-university degree,Alberta,2726
45-54,Female,Non-university degree,British Columbia,3217
45-54,Female,Non-university degree,Manitoba,774
45-54,Female,Non-university degree,New Brunswick,587
45-54,Female,Non-university degree,Newfoundland and Labrador,497
45-54,Female,Non-university degree,Northern Canada,58
45-54,Female,Non-university degree,Nova Scotia,749
45-54,Female,Non-university degree,Ontario,9462
45-54,Female,Non-university degree,Prince Edward Island,109
45-54,Female,Non-university degree,Quebec,6805
45-54,Female,Non-university degree,Saskatchewan,733
45-54,Male,Bachelor's degree,Alberta,1164
45-54,Male,Bachelor's degree,British Columbia,1418
45-54,Male,Bachelor's degree,Manitoba,302
45-54,Male,Bachelor's degree,New Brunswick,140
45-54,Male,Bachelor's degree,Newfoundland and Labrador,67
45-54,Male,Bachelor's degree,Northern Canada,17
45-54,Male,Bachelor's degree,Nova Scotia,231
45-54,Male,Bachelor's degree,Ontario,4601
45-54,Male,Bachelor's degree,Prince Edward Island,32
45-54,Male,Bachelor's degree,Quebec,2143
45-54,Male,Bachelor's degree,Saskatchewan,213
45-54,Male,Degree above Bachelor's,Alberta,643
45-54,Male,Degree above Bachelor's,British Columbia,857
45-54,Male,Degree above Bachelor's,Manitoba,127
45-54,Male,Degree above Bachelor's,New Brunswick,58
45-54,Male,Degree above Bachelor's,Newfoundland and Labrador,37
45-54,Male,Degree above Bachelor's,Northern Canada,7
45-54,Male,Degree above Bachelor's,Nova Scotia,101
45-54,Male,Degree above Bachelor's,Ontario,2729
45-54,Male,Degree above Bachelor's,Prince Edward Island,9
45-54,Male,Degree above Bachelor's,Quebec,1181
45-54,Male,Degree above Bachelor's,Saskatchewan,98
45-54,Male,HS Diploma or equivalent,Alberta,1734
